Pos,N_meanings,N_Thesaurus,N_synonyms,N_hypernyms,N_hyponyms,N_antonyms,Google_freq,Movie_freq,Movie_freq_pm,BlogFreq,BlogFreqPm,BlogCD,BlogCDPc,TwitterFreq,TwitterFreqPm,TwitterCD,TwitterCDPc,NewsFreq,NewsFreqPm,NewsCD,NewsCDPc.,Conc_M,Conc_SD,Percent_known,N_unknown,N_participants,nobs,accuracy,rt_correct_mean,rt_correct_std,rt_zscore_correct_mean,rt_zscore_correct_std,rank_L2,nobs_L1,acc_L1,rank_L1,diff_L1_L2,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,level
preposition,1,2,0,0,0,0,76597151,4141,81.19607843,8323,218.2692,7988,0.8883,2606,84.1237,2591,0.1098,8250,234.2662,8096,0.8014,3.07,1.21,1,0,28,240,0.983333333,1024.970339,751.523346,-0.63410953,0.565937564,1545,404,0.995049505,6069,-4524,6,8,2,1,0,1,0,0,0,0,0,1,0
noun,14,5,3,5,3,0,141076205,2739,53.70588235,5460,143.1875,4780,0.5315,3959,127.7996,3848,0.163,4942,140.3326,4668,0.4621,2.46,1.27,1,0,26,226,0.995575221,917.7955556,547.661867,-0.695508819,0.592855336,319,347,1,41,278,3,6,1,1,0,1,0,0,0,0,0,59,2
verb,14,5,7,6,7,1,141076205,2823,55.35294118,5460,143.1875,4780,0.5315,3959,127.7996,3848,0.163,4942,140.3326,4668,0.4621,2.46,1.27,1,0,26,226,0.995575221,917.7955556,547.661867,-0.695508819,0.592855336,319,347,1,41,278,3,6,1,1,0,1,0,0,0,0,0,59,1
noun,12,3,5,10,6,1,162023431,3098,60.74509804,5102,133.7991,4565,0.5076,2866,92.5167,2766,0.1172,4990,141.6956,4841,0.4792,2.86,1.36,1,0,29,215,0.981395349,832.6445498,313.612806,-0.776577893,0.34176421,1762,342,0.997076023,4611,-2849,6,8,2,2,0,1,1,0,3,0,1599,59,0
verb,5,7,2,5,1,1,5014202,238,4.666666667,99,2.5963,97,0.0108,78,2.5179,77,0.0033,80,2.2717,78,0.0077,2.97,1.35,1,0,29,266,0.988721805,966.2547529,466.206806,-0.671234901,0.393234179,935,425,0.995294118,5178,-4243,8,13,3,3,0,1,2,0,6,0,1517,59,3
noun,3,2,1,3,2,2,10581402,43,0.843137255,68,1.7833,62,0.0069,44,1.4204,44,0.0019,33,0.9371,33,0.0033,2.41,1.31,1,0,27,266,0.977443609,1087.138462,632.2136113,-0.499084918,0.653184136,2206,403,0.99751861,3000,-794,10,15,4,4,0,1,3,0,9,0,3116,59,4
adjective,17,2,3,0,0,11,84084764,584,11.45098039,1662,43.5857,1542,0.1715,902,29.1173,889,0.0377,1890,53.6683,1851,0.1832,3.32,1.25,1,0,28,204,0.985294118,856.0845771,355.6967638,-0.756843975,0.400438222,1333,396,1,207,1126,6,8,2,2,0,1,1,0,3,0,580,59,1
noun,2,2,1,1,1,0,4027427,50,0.980392157,310,8.1297,298,0.0331,143,4.6162,141,0.006,867,24.6193,854,0.0845,3.34,1.59,1,0,29,255,0.97254902,988.4032258,565.0426937,-0.631501001,0.554880806,2783,389,0.997429306,3671,-888,8,12,3,3,0,1,2,0,6,0,1042,59,4
noun,6,4,4,6,5,3,79633609,657,12.88235294,2140,56.1211,1963,0.2183,775,25.0176,770,0.0326,2185,62.0451,2096,0.2075,2.72,1.4,1,0,25,227,0.995594714,908.9469027,355.9662741,-0.669803088,0.512884974,313,421,0.992874109,8365,-8052,8,11,4,3,0,1,2,0,6,0,1160,59,0
noun,2,6,2,2,2,0,16282891,1336,26.19607843,1040,27.2738,950,0.1056,997,32.1839,979,0.0415,1635,46.4273,1521,0.1506,4.57,0.9,1,0,30,245,1,897.122449,602.4427608,-0.76188538,0.468012398,35,379,0.997361478,4097,-4062,5,7,2,2,0,1,1,0,2,0,289,59,0
