words,length_of_word,length_of_phonetics,num_of_syllables,num_of_morph,num_of_prefix,num_of_roots,num_of_suff,total_pref_length,total_suff_length,pref_famsize,suff_famsize,root_famsize,lowest_level
finish,6,#N/A,#N/A,1,0,1,0,0,0,0,0,3,a1
fire,4,9,1,1,0,1,0,0,0,0,0,50,a1
first,5,8,1,1,0,1,0,0,0,0,0,5,a1
fish,4,6,1,1,0,1,0,0,0,0,0,31,a1
five,4,8,1,1,0,1,0,0,0,0,0,12,a1
flat,4,7,1,1,0,1,0,0,0,0,0,13,a1
flight,6,9,1,1,0,1,0,0,0,0,0,6,a1
floor,5,7,1,1,0,1,0,0,0,0,0,4,a1
flower,6,#N/A,#N/A,1,0,1,0,0,0,0,0,14,a1
fly,3,8,1,1,0,1,0,0,0,0,0,27,a1
follow,6,9,2,1,0,1,0,0,0,0,0,3,a1
food,4,7,1,1,0,1,0,0,0,0,0,5,a1
foot,4,6,1,1,0,1,0,0,0,0,0,43,a1
football,8,10,2,2,0,2,0,0,0,0,0,71,a1
for,3,6,1,1,0,1,0,0,0,0,0,3,a1
forget,6,8,2,1,0,1,0,0,0,0,0,7,a1
form,4,7,1,1,0,1,0,0,0,0,0,44,a1
forty,5,8,2,1,0,1,0,0,0,0,0,1,a1
four,4,6,1,1,0,1,0,0,0,0,0,10,a1
fourteen,8,10,2,2,0,1,1,0,4,0,14,10,a1
fourth,6,7,1,2,0,1,1,0,2,0,53,10,a1
free,4,7,1,1,0,1,0,0,0,0,0,28,a1
friday,6,#N/A,#N/A,2,0,2,0,0,0,0,0,36,a1
friend,6,8,1,1,0,1,0,0,0,0,0,13,a1
friendly,8,10,2,2,0,1,1,0,2,0,2898,13,a1
from,4,7,1,1,0,1,0,0,0,0,0,2,a1
front,5,8,1,1,0,1,0,0,0,0,0,17,a1
fruit,5,8,1,1,0,1,0,0,0,0,0,18,a1
full,4,6,1,1,0,1,0,0,0,0,0,11,a1
fun,3,6,1,1,0,1,0,0,0,0,0,7,a1
funny,5,7,2,2,0,1,1,0,1,0,2486,7,a1
future,6,11,2,1,0,1,0,0,0,0,0,7,a1
game,4,8,1,1,0,1,0,0,0,0,0,7,a1
garden,6,9,2,1,0,1,0,0,0,0,0,2,a1
geography,9,13,4,3,0,2,1,0,1,0,2486,136,a1
get,3,6,1,1,0,1,0,0,0,0,0,7,a1
girl,4,7,1,1,0,1,0,0,0,0,0,14,a1
girlfriend,10,12,2,2,0,2,0,0,0,0,0,27,a1
give,4,6,1,1,0,1,0,0,0,0,0,7,a1
glass,5,8,1,1,0,1,0,0,0,0,0,18,a1
go,2,7,#N/A,1,0,1,0,0,0,0,0,22,a1
good,4,6,1,1,0,1,0,0,0,0,0,13,a1
goodbye,7,10,2,2,0,2,0,0,0,0,0,15,a1
grandfather,11,13,3,2,0,2,0,0,0,0,0,35,a1
grandmother,11,12,3,2,0,2,0,0,0,0,0,36,a1
grandparent,11,16,3,2,0,2,0,0,0,0,0,31,a1
great,5,9,1,1,0,1,0,0,0,0,0,6,a1
green,5,8,1,1,0,1,0,0,0,0,0,18,a1
grey,4,8,1,1,0,1,0,0,0,0,0,7,a1
group,5,8,1,1,0,1,0,0,0,0,0,6,a1
grow,4,8,1,1,0,1,0,0,0,0,0,14,a1
guess,5,6,1,1,0,1,0,0,0,0,0,2,a1
guitar,6,8,2,1,0,1,0,0,0,0,0,2,a1
gym,3,8,1,1,0,1,0,0,0,0,0,2,a1
hair,4,7,1,1,0,1,0,0,0,0,0,27,a1
half,4,7,1,1,0,1,0,0,0,0,0,2,a1
hand,4,7,1,1,0,1,0,0,0,0,0,61,a1
happen,6,8,2,1,0,1,0,0,0,0,0,1,a1
happy,5,7,2,1,0,1,0,0,0,0,0,11,a1
hard,4,7,1,1,0,1,0,0,0,0,0,30,a1
hat,3,6,1,1,0,1,0,0,0,0,0,8,a1
hate,4,8,1,1,0,1,0,0,0,0,0,4,a1
have,4,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
he,2,#N/A,#N/A,1,0,1,0,0,0,0,0,1,a1
head,4,6,1,1,0,1,0,0,0,0,0,98,a1
health,6,7,1,1,0,1,0,0,0,0,0,12,a1
healthy,7,8,2,2,0,1,1,0,1,0,2486,12,a1
hear,4,7,1,1,0,1,0,0,0,0,0,6,a1
hello,5,9,2,1,0,1,0,0,0,0,0,1,a1
help,4,7,1,1,0,1,0,0,0,0,0,10,a1
her,3,6,1,1,0,1,0,0,0,0,0,2,a1
here,4,7,1,1,0,1,0,0,0,0,0,13,a1
hey,3,7,1,1,0,1,0,0,0,0,0,1,a1
hi,2,7,#N/A,1,0,1,0,0,0,0,0,1,a1
high,4,7,1,1,0,1,0,0,0,0,0,24,a1
him,3,6,1,1,0,1,0,0,0,0,0,2,a1
his,3,6,1,1,0,1,0,0,0,0,0,2,a1
history,7,11,3,2,0,1,1,0,1,0,2486,13,a1
hobby,5,7,2,1,0,1,0,0,0,0,0,2,a1
holiday,7,12,3,2,0,2,0,0,0,0,0,44,a1
home,4,8,1,1,0,1,0,0,0,0,0,29,a1
homework,8,12,2,2,0,2,0,0,0,0,0,115,a1
hope,4,8,1,1,0,1,0,0,0,0,0,7,a1
horse,5,7,1,1,0,1,0,0,0,0,0,35,a1
hospital,8,12,3,1,0,1,0,0,0,0,0,4,a1
hot,3,6,1,1,0,1,0,0,0,0,0,14,a1
hotel,5,10,2,1,0,1,0,0,0,0,0,3,a1
hour,4,8,1,1,0,1,0,0,0,0,0,6,a1
house,5,#N/A,#N/A,1,0,1,0,0,0,0,0,91,a1
how,3,7,1,1,0,1,0,0,0,0,0,6,a1
however,7,10,3,2,0,2,0,0,0,0,0,28,a1
hundred,7,10,2,1,0,1,0,0,0,0,0,4,a1
hungry,6,9,2,1,0,1,0,0,0,0,0,4,a1
husband,7,10,2,1,0,1,0,0,0,0,0,5,a1
i,1,6,#N/A,1,0,1,0,0,0,0,0,1,a1
ice,3,7,1,1,0,1,0,0,0,0,0,19,a1
idea,4,10,3,1,0,1,0,0,0,0,0,2,a1
